,AGE,ATTEMPTS_GFG,AVG_Driving_DISTANCE,AVG_SCORE,FAIRWAY_HIT_%,GIR_RANK,MISSED_GIR,NUMBER_OF_TOP_Tens,NUMBER_OF_WINS,PAR_OR_BETTER,POINTS,ROUGH_TENDNECY%,SAND_SAVE%,SG:APR,SG:ARG,SG:OTT,TOTAL_3_PUTTS,TOTAL_SG:PUTTING,UP_AND_DOWN_%,labels
0,37.0,139.0,295.5,70.85,52.18,165.0,488.0,1.0,0.0,303.0,342.0,35.86,56.25,0.048,0.632,-0.375,35.0,-4.064,62.09,3
1,22.0,157.0,303.4,70.276,63.29,45.0,440.0,4.0,1.0,249.0,1498.0,24.34,48.8,0.075,-0.01,0.421,52.0,17.134,56.59,4
2,27.0,179.0,296.3,70.659,63.06,108.0,563.0,5.0,0.0,356.0,909.0,28.68,54.38,0.128,-0.016,0.332,46.0,-4.076,63.23,3
3,30.0,146.0,289.7,70.75,65.18,74.0,481.0,3.0,0.0,284.0,1054.0,23.52,48.15,0.24,0.223,0.121,37.0,8.729,59.04,3
4,26.0,151.0,305.5,71.37,57.67,67.0,462.0,1.0,0.0,252.0,239.0,31.98,42.36,-0.262,-0.091,0.073,47.0,8.558,54.55,4
5,38.0,117.0,304.8,70.42,62.16,6.0,377.0,3.0,0.0,213.0,1052.0,26.29,52.0,0.705,0.153,0.366,61.0,-11.944,56.5,4
6,47.0,106.0,286.7,70.675,66.49,155.0,450.0,2.0,0.0,288.0,524.0,26.29,59.35,-0.169,0.495,-0.024,29.0,0.556,64.0,3
7,36.0,107.0,299.2,69.973,60.52,128.0,326.0,3.0,0.0,202.0,1033.0,29.03,51.58,0.19,-0.034,0.208,25.0,28.117,61.96,2
8,31.0,118.0,291.7,71.059,63.23,118.0,472.0,5.0,1.0,265.0,1145.0,26.84,42.28,-0.061,-0.186,0.263,31.0,-3.516,56.14,4
9,29.0,143.0,294.2,70.579,60.4,21.0,458.0,5.0,1.0,279.0,1063.0,31.62,49.18,0.357,0.161,-0.104,48.0,1.655,60.92,4
10,27.0,63.0,290.6,73.624,53.58,181.0,309.0,0.0,0.0,136.0,16.0,37.1,34.33,-0.447,-0.432,-0.457,30.0,-20.385,44.01,0
11,31.0,135.0,294.0,70.66,60.09,141.0,521.0,4.0,0.0,304.0,566.0,28.76,51.46,-0.285,0.12,0.07,42.0,13.321,58.35,3
12,27.0,179.0,292.5,70.469,66.3,107.0,630.0,3.0,1.0,392.0,1094.0,23.65,53.49,-0.056,0.21,0.115,56.0,27.162,62.22,3
13,23.0,193.0,300.1,70.574,60.1,82.0,585.0,5.0,0.0,349.0,1043.0,26.52,53.18,-0.366,0.004,0.267,47.0,60.061,59.66,3
14,42.0,67.0,281.1,71.097,67.52,136.0,373.0,1.0,0.0,235.0,267.0,26.86,66.0,-0.038,0.184,-0.302,24.0,15.28,63.0,2
15,31.0,121.0,289.6,70.974,63.52,152.0,415.0,1.0,0.0,244.0,266.0,24.56,57.69,0.119,-0.096,-0.142,27.0,6.716,58.8,2
16,30.0,131.0,290.2,71.281,65.56,134.0,530.0,2.0,0.0,304.0,323.0,27.44,44.67,-0.385,-0.128,0.069,37.0,18.079,57.36,3
17,36.0,117.0,296.3,71.028,56.35,120.0,435.0,1.0,0.0,267.0,262.0,32.94,55.75,-0.025,0.341,-0.174,29.0,-8.151,61.38,3
18,31.0,158.0,296.1,70.258,67.6,10.0,389.0,4.0,1.0,225.0,1610.0,23.73,50.0,0.278,-0.189,0.559,36.0,22.868,57.84,4
19,36.0,81.0,284.0,71.715,59.24,171.0,426.0,0.0,0.0,234.0,73.0,30.54,48.96,-0.17,0.139,-0.696,34.0,1.414,54.93,0
20,28.0,110.0,294.7,70.835,64.67,22.0,362.0,0.0,0.0,208.0,202.0,26.23,52.73,-0.047,-0.073,0.101,39.0,-1.323,57.46,2
21,30.0,99.0,299.1,70.412,63.44,62.0,345.0,2.0,0.0,202.0,634.0,29.95,47.71,0.182,0.134,0.155,36.0,11.334,58.55,2
22,32.0,193.0,303.1,70.721,54.79,114.0,587.0,3.0,0.0,328.0,545.0,32.71,53.42,-0.006,-0.124,0.181,53.0,19.146,55.88,3
23,37.0,110.0,293.5,70.379,62.25,121.0,461.0,4.0,1.0,285.0,1174.0,25.9,57.48,0.074,0.357,-0.079,30.0,32.916,61.82,3
24,35.0,135.0,311.4,71.021,59.47,24.0,320.0,3.0,1.0,170.0,998.0,30.7,47.78,0.306,-0.239,0.684,37.0,-22.13,53.13,4
25,35.0,90.0,295.4,71.191,58.38,14.0,326.0,0.0,0.0,184.0,149.0,33.59,48.28,0.078,-0.296,-0.135,33.0,18.83,56.44,2
26,46.0,113.0,282.8,70.28,70.36,147.0,596.0,6.0,0.0,381.0,910.0,21.84,51.88,-0.019,0.257,-0.136,40.0,40.29,63.93,3
27,31.0,123.0,292.6,70.536,66.2,60.0,471.0,8.0,0.0,273.0,1116.0,24.58,48.87,-0.029,-0.103,0.17,54.0,34.332,57.96,3
28,35.0,95.0,278.4,71.038,71.21,83.0,556.0,3.0,0.0,331.0,654.0,22.02,47.62,0.128,0.022,-0.236,34.0,12.717,59.53,3
29,35.0,143.0,296.7,71.018,64.3,101.0,551.0,2.0,1.0,321.0,853.0,28.39,41.61,-0.103,-0.318,0.197,49.0,-7.371,58.26,4
30,31.0,134.0,302.8,70.701,64.53,50.0,392.0,2.0,0.0,218.0,718.0,26.32,45.95,0.371,-0.307,0.309,36.0,6.123,55.61,4
31,28.0,113.0,313.4,69.31,57.2,56.0,286.0,6.0,2.0,185.0,2551.0,32.4,52.56,0.228,0.23,0.767,37.0,-0.183,64.69,1
32,24.0,175.0,306.4,69.624,61.23,26.0,441.0,9.0,3.0,272.0,5617.0,26.47,48.09,0.654,0.151,0.579,56.0,21.533,61.68,1
33,39.0,155.0,313.6,70.25,58.43,34.0,383.0,6.0,3.0,219.0,2277.0,30.92,47.01,0.092,-0.133,0.861,33.0,-1.924,57.18,1
34,25.0,88.0,295.4,71.356,60.81,149.0,341.0,2.0,0.0,205.0,405.0,28.7,54.37,-0.032,0.239,-0.113,28.0,15.055,60.12,2
35,28.0,154.0,308.6,70.19,59.29,62.0,437.0,4.0,0.0,276.0,1061.0,29.41,51.24,0.508,0.202,0.477,42.0,-11.512,63.16,4
36,26.0,157.0,292.6,70.457,68.57,5.0,491.0,2.0,0.0,278.0,1170.0,22.74,40.15,0.287,0.065,0.228,47.0,-4.618,56.62,4
37,44.0,78.0,295.6,70.909,63.66,30.0,274.0,2.0,0.0,157.0,191.0,30.49,54.79,0.039,0.21,0.241,22.0,-8.392,57.3,2
38,25.0,114.0,298.8,70.525,57.01,160.0,445.0,7.0,0.0,278.0,2231.0,32.5,57.04,-0.01,0.236,-0.028,23.0,16.169,62.47,1
39,33.0,85.0,289.3,72.146,51.99,117.0,391.0,0.0,0.0,216.0,88.0,33.33,52.81,0.348,0.088,-1.351,43.0,-5.292,55.24,0
40,38.0,98.0,286.5,71.683,64.7,116.0,490.0,2.0,0.0,291.0,361.0,28.53,50.0,-0.01,0.023,-0.042,60.0,-30.441,59.39,3
41,34.0,95.0,299.5,71.349,54.86,183.0,387.0,3.0,0.0,226.0,528.0,32.36,48.87,-0.092,-0.038,-0.075,31.0,1.932,58.4,0
42,39.0,140.0,300.8,70.219,62.36,35.0,511.0,4.0,0.0,316.0,905.0,27.89,56.49,0.209,0.103,0.355,42.0,7.604,61.84,3
43,41.0,158.0,299.1,70.521,57.18,98.0,454.0,0.0,0.0,258.0,689.0,30.53,45.19,0.202,-0.145,0.231,37.0,3.858,56.83,4
44,31.0,169.0,300.1,70.311,59.42,55.0,531.0,7.0,0.0,301.0,1144.0,29.07,47.22,0.701,-0.099,0.148,42.0,22.518,56.69,4
45,36.0,97.0,287.3,70.432,71.67,47.0,452.0,3.0,0.0,283.0,1184.0,21.14,42.34,0.483,-0.158,0.236,44.0,10.551,62.61,2
46,34.0,166.0,290.2,70.411,64.02,76.0,592.0,4.0,0.0,375.0,834.0,27.02,53.8,0.529,0.19,-0.041,48.0,10.284,63.34,3
47,32.0,135.0,289.8,71.628,62.24,173.0,487.0,1.0,0.0,292.0,255.0,28.47,53.42,-0.056,-0.058,-0.277,38.0,3.098,59.96,3
48,27.0,124.0,301.0,72.112,55.45,177.0,439.0,0.0,0.0,234.0,141.0,33.29,48.72,-0.696,-0.111,-0.212,32.0,10.838,53.3,0
